year,totalCitations
1988,72
1989,442
1990,682
1991,796
1992,872
1993,936
1994,972
1995,1096
1996,1178
1997,1190
1998,1191
1999,1157
2000,1226
2001,1104
2002,1198
2003,1211
2004,1141
2005,1365
2006,1556
2007,1741
2008,1809
2009,2117
2010,2164
2011,2310
2012,2372
2013,2604
2014,2656
2015,2791
2016,2906
2017,2932
2018,2973
2019,3255
