year,totalCitations
1998,98
1999,482
2000,975
2001,1223
2002,1312
2003,1438
2004,1545
2005,1751
2006,2052
2007,2343
2008,2727
2009,2726
2010,3012
2011,3087
2012,3009
2013,3206
2014,3296
2015,3334
2016,3348
2017,3381
2018,3349
2019,3872
