UT,DI,AU,PY
WOS:000432773100018,10.1016/j.socec.2018.04.009,"Achtziger, Anja; Alos-Ferrer, Carlos; Wagner, Alexander K.",2018
WOS:000475657800001,10.1080/07420528.2019.1607370,"Przepiorka, Aneta; Blachnio, Agata; Siu, Nicolson Yat-Fan",2019
WOS:000507375900063,10.3390/e21121195,"Lawless, W. F.",2019
WOS:000428206100003,10.1080/00224545.2017.1297287,"Findley, Matthew; Brown, Ryan",2018
WOS:000409313400005,10.1027/1864-9335/a000308,"Dang, Junhua; Liu, Ying; Liu, Xiaoping; Mao, Lihua",2017
WOS:000454439800001,10.1080/01973533.2018.1459300,"Suessenbach, Philipp",2018
WOS:000428874900007,10.1111/bjso.12236,"Etherton, Joseph L.; Osborne, Randall; Stephenson, Katelyn; Grace, Morgan; Jones, Chas; De Nadai, Alessandro S.",2018
WOS:000413698300025,10.3758/s13423-017-1247-2,"Wimmer, Marina C.; Stirk, Steven; Hancock, Peter J. B.",2017
WOS:000416819100001,10.3389/fpsyg.2017.02103,"Schinkoeth, Michaela; Antoniewicz, Franziska",2017
WOS:000483795200002,10.3389/fpsyg.2019.02027,"Yang, Jonghyun; Park, Kiwon; Shin, Myoungjin",2019
WOS:000425955100019,10.1017/S0954579417000608,"Figge, Caleb J.; Martinez-Torteya, Cecilia; Weeks, Jessica E.",2018
WOS:000397549400002,10.4040/jkan.2017.47.1.14,"Cha, Jieun",2017
