UT,DI,AU,PY
WOS:000502792400034,NA,"Chivers, Tom",2019
WOS:000506643400108,10.3390/math7121241,"Druica, Elena; Valsan, Calin; Ianole-Calin, Rodica; Mihail-Papuc, Razvan; Munteanu, Irena",2019
WOS:000475397600003,10.1080/15213269.2018.1484769,"Leyva, Rodolfo",2019
WOS:000478217900001,10.1080/01973533.2019.1624965,"Rohrer, Doug; Pashler, Harold; Harris, Christine R.",2019
WOS:000468901700002,10.1088/1748-9326/ab114f,"Martin, Adrian; Kebede, Bereket; Gross-Camp, Nicole; He, Jun; Inturias, Mirna; Rodriguez, Iokine",2019
WOS:000481978500004,10.1093/jcr/ucy012,"Zhou, Xinyue; Kim, Sara; Wang, Lili",2019
WOS:000514922700005,10.5964/jspp.v5i2.748,"Schuler, Johannes; Ivanov, Igor; Waenke, Michaela",2017
