UT,DI,AU,PY
WOS:000492873700004,10.1093/jcs/csy080,"Ishio, Yoshito; Dougherty, Kevin D.; Niki, Izumi",2019
WOS:000475484400009,NA,"Calfano, B.",2018
WOS:000514922700005,10.5964/jspp.v5i2.748,"Schuler, Johannes; Ivanov, Igor; Waenke, Michaela",2017
