UT,DI,AU,PY
WOS:000503325400003,10.1016/j.joep.2018.11.001,"Alos-Ferrer, Carlos; Ritschel, Alexander; Garcia-Segarra, Jaume; Achtziger, Anja",2019
WOS:000495020100002,10.1027/1864-9335/a000375,"Vadillo, Miguel A.",2019
WOS:000495020100003,10.1027/1864-9335/a000365,"Wenzel, Mario; Lind, Marina; Rowland, Zarah; Zahn, Daniala; Kubiak, Thomas",2019
WOS:000495020100007,10.1027/1864-9335/a000393,"Wimmer, Marina C.; Dome, Lenard; Hancock, Peter J. B.; Wennekers, Thomas",2019
WOS:000478650900003,10.1002/per.2208,"Wenzel, Mario; Rowland, Zarah; Zahn, Daniela; Kubiak, Thomas",2019
WOS:000518823400013,NA,"Christensen, G.; Freese, J.; Miguel, E.",2019
